SSN,EEID,FirstName,LastName,DOB,DOH,DOT,HoursWorked,%Ownership,Officer,PiorYearComp,EmployeeDeferrals,EmployerMatch,EmployerProfitSharing,EmployerSHContribuion
582-29-3910,435303,Ralph,Martin,1993-04-22,2011-08-27,2017-05-28,947,61.28,No,57856.29,298.06,934.76,6475.75,6913.42
823-19-8897,197133,Amy,Hernandez,1969-02-03,2015-04-20,2024-05-31,1533,65.67,Yes,196925.39,16457.12,8193.94,3719.37,4952.94
459-12-1319,575209,Kelly,Douglas,1970-01-09,2018-01-25,2019-08-19,785,47.65,Yes,79220.25,6446.59,8887.72,6801.71,2523.83
328-66-8017,663841,Timothy,Schmitt,1960-10-03,2019-09-05,2018-03-06,1077,8.98,No,97114.64,3133.46,7793.96,14056.57,6325.65
112-39-9032,87521,John,Wagner,2007-03-24,2006-12-20,2016-07-21,786,75.76,No,123242.33,2901.98,6985.02,2138.51,13458.01
299-91-2045,878128,Brandon,Santana,1997-02-02,2009-11-23,2022-06-14,2047,87.68,No,79879.19,12793.63,4201.11,6936.53,6529.05
561-43-8853,760798,Hayden,Shaw,1988-08-01,2006-02-04,2020-04-28,694,92.34,No,111270.99,18887.67,3053.12,9559.55,6709.38
209-78-8966,136861,Alexandra,Berry,2001-12-05,2018-10-17,2020-03-15,1766,84.25,Yes,70750.03,9847.49,1134.45,7249.32,10632.42
602-37-7291,15444,Chad,Gregory,1990-01-12,2008-01-18,2024-03-28,2137,89.82,No,38203.58,17571.26,4259.7,3054.6,7862.43
094-77-6307,421335,Richard,Trujillo,1982-12-25,2007-11-20,2017-09-06,1013,92.31,No,60529.76,9797.36,5660.13,27.65,1938.35
325-74-3967,995672,Mark,Chang,1988-11-26,2009-11-20,2025-02-27,2363,54.06,No,118918.54,11190.51,9228.81,10484.88,13655.89
298-24-3103,711474,Robert,Mooney,1975-03-04,2019-09-11,2024-04-17,1590,39.13,Yes,42046.69,13232.14,9357.55,9281.03,6661.87
842-24-0541,437764,Cory,Burgess,1962-02-11,2015-08-01,2018-12-21,1944,70.53,Yes,98538.75,15699.64,4156.41,116.65,11840.07
628-85-4261,331535,Regina,Bullock,1964-04-23,2024-02-19,2024-06-07,2159,27.56,Yes,85848.52,14778.0,992.11,4478.4,5833.13
488-09-1472,3557,Thomas,Harris,1983-05-20,2019-07-30,2017-03-09,1732,81.16,No,100502.67,19315.38,7738.19,11529.51,12102.69
696-97-2134,223896,Mary,Nichols,1992-11-29,2010-03-28,2022-05-20,2347,84.95,Yes,46898.06,14565.83,7342.79,9433.81,5843.05
898-20-0634,14985,Theresa,George,1983-02-12,2019-10-05,2024-08-22,800,89.5,Yes,184471.78,17662.72,307.01,8178.12,3302.39
863-11-8858,752168,Matthew,Petersen,1960-02-11,2015-07-15,2022-04-04,1135,58.98,Yes,110580.79,4019.04,4467.19,2343.32,2942.92
700-51-8595,791416,Timothy,Olson,1961-07-10,2017-06-17,2020-02-19,702,94.98,No,172944.22,10440.62,6864.18,10594.41,14100.52
283-67-3859,2472,Holly,Gibbs,1982-09-05,2008-04-09,2020-05-14,1994,57.97,No,195959.01,11672.98,301.34,7071.52,8797.95
870-28-9664,862696,Ronald,Price,1958-09-04,2013-11-01,2022-12-02,651,45.06,No,88420.77,16101.08,9192.82,10172.68,746.9
846-54-9498,708587,Kevin,Willis,1961-02-22,2020-07-12,2021-09-20,2340,66.02,Yes,111444.71,9403.16,9622.42,11401.35,5825.21
282-58-8072,554010,Jessica,York,1982-08-24,2017-12-16,2025-01-22,2241,99.63,No,148931.2,15425.28,7225.43,3485.44,3510.44
677-83-5856,641793,Patricia,Yates,2007-01-20,2023-05-27,2017-09-27,1900,91.69,No,102511.01,7577.09,785.39,11429.93,1269.86
085-42-1890,102534,Samantha,Sandoval,1965-01-08,2007-05-14,2018-01-24,1176,79.33,Yes,81323.53,11434.57,703.29,4201.33,2801.34
499-76-5494,199711,Courtney,Smith,2004-05-12,2018-03-16,2017-06-29,1466,8.24,Yes,154907.67,16600.67,3592.53,14760.23,854.86
866-25-3982,124679,Nicholas,White,1956-06-26,2019-04-20,2017-06-11,1646,61.28,No,182047.96,15562.16,293.78,1812.47,9571.1
017-94-4441,637911,Terri,Hunter,1984-10-17,2005-09-06,2021-11-19,706,48.64,Yes,186347.1,12811.2,3478.78,13255.77,2600.61
120-91-3613,680804,Danielle,Scott,1983-09-24,2019-08-05,2022-03-22,1224,63.01,No,136546.15,4.69,99.64,608.21,9161.7
381-22-5449,208159,Cameron,Jones,2001-02-08,2016-04-22,2023-05-10,1389,84.51,Yes,93847.13,3548.39,9743.24,3848.64,9187.6
437-08-1649,916092,Christopher,Heath,1982-10-10,2020-05-30,2017-10-08,1147,24.3,No,195675.29,9883.73,8190.07,7891.53,10573.86
802-19-3585,317106,Kara,Hahn,1956-06-11,2012-05-03,2024-11-30,1751,73.15,No,138609.35,4961.96,705.18,8724.24,7681.78
047-74-8753,293583,Bruce,Turner,1988-03-10,2018-01-15,2020-06-24,1811,11.71,Yes,41191.9,1279.61,8934.35,5943.52,4266.36
617-88-1213,721986,Alan,Russell,1976-06-23,2015-05-18,2021-06-02,2369,22.05,Yes,44393.83,16767.73,2079.78,1530.48,13161.86
028-16-3089,191072,Phillip,Patrick,2003-07-25,2021-06-01,2023-06-09,918,79.46,No,157477.83,18387.47,2047.91,3789.12,5296.07
621-74-1962,105047,April,Brown,1971-08-02,2008-06-29,2022-06-16,2479,33.25,No,40396.55,5904.7,6737.59,4250.95,6874.41
401-12-6065,498708,Shane,Davidson,1959-09-28,2011-09-15,2019-02-07,1631,81.59,No,31334.67,7957.43,9382.62,11328.34,9478.19
854-15-0597,895419,Tracy,Anderson,1978-05-20,2009-02-02,2023-07-04,1476,10.06,No,96947.35,15795.73,1231.88,13631.61,7741.86
621-03-3189,967594,Brenda,Mitchell,1959-03-08,2014-10-27,2023-09-17,1406,14.64,Yes,118230.63,1214.05,71.85,8931.15,14347.03
190-92-2030,415966,Erin,Greer,1962-08-27,2009-03-18,2023-12-05,2272,69.77,No,106252.53,12499.2,3691.3,531.76,14320.77
491-27-1001,658127,Rodney,Brown,1978-11-04,2024-05-21,2020-10-22,1567,4.52,Yes,113065.2,2482.76,246.5,11883.55,13946.4
696-03-8917,85296,Micheal,Johnson,2001-06-21,2010-08-19,2023-10-11,1033,57.39,Yes,129431.08,5598.22,6048.48,4584.06,14011.15
436-80-1663,22906,Vanessa,Butler,1956-05-24,2020-07-29,2016-06-02,627,91.0,Yes,145481.44,16183.84,8591.76,5098.36,8714.4
856-34-1147,288058,Jose,Vasquez,1977-11-26,2018-12-18,2022-12-12,2148,53.42,Yes,101916.47,1082.78,1869.92,7952.78,7353.03
227-10-4933,958273,Kimberly,Boyer,1978-01-25,2011-09-14,2020-07-02,2381,68.06,No,92616.35,700.71,1123.91,3735.71,10561.75
359-56-2955,474982,Ryan,Love,1966-07-02,2019-09-29,2017-10-28,1623,2.67,No,198038.04,8148.39,3444.5,13799.67,3231.29
063-65-7654,838676,Michael,Nunez,1955-01-27,2020-02-01,2023-10-29,2375,63.5,No,74355.81,9590.7,9591.72,2453.32,3988.08
041-77-1654,830830,Caleb,Hernandez,1970-01-29,2011-05-05,2016-04-14,528,60.63,Yes,162107.03,16834.84,1301.58,6222.46,657.11
717-51-3267,121403,Michelle,Hatfield,1979-04-16,2013-10-31,2019-01-24,691,57.6,Yes,103307.57,13985.18,9665.19,4345.38,2442.86
267-46-7705,903201,Jacqueline,Jenkins,1959-03-12,2020-10-28,2015-10-30,1973,39.12,Yes,90948.46,13134.1,3622.4,7797.51,58.12
859-73-2776,268947,Rebecca,Carr,1994-12-29,2016-12-23,2021-06-10,2220,37.01,Yes,40855.85,2951.79,4733.7,8609.73,9819.41
715-87-3333,139901,Shannon,Hughes,1964-02-23,2023-03-15,2023-06-01,1316,98.05,Yes,176808.42,19240.77,2926.32,9407.1,2106.1
786-08-2593,685314,Erica,Williams,1968-07-19,2010-03-31,2022-01-17,1954,3.64,Yes,149340.71,8017.23,9371.27,7970.64,11800.19
866-21-5609,546167,David,Ruiz,1954-08-13,2017-06-27,2015-07-26,2189,2.16,Yes,183511.82,11929.53,9581.48,6162.07,10207.56
543-33-1921,856973,Raymond,Hernandez,1968-05-01,2021-02-16,2024-05-10,2107,96.1,Yes,106774.0,7540.32,6359.16,9518.91,14560.14
612-57-2865,682395,Jared,Johnson,1999-03-29,2008-05-03,2016-07-10,1868,18.5,No,145076.56,917.14,1840.46,6051.19,5947.72
014-61-6716,676269,Bobby,Williamson,2000-03-30,2021-11-03,2016-10-11,1780,12.39,No,50214.75,9182.34,9929.52,11678.25,13820.88
583-66-5103,363911,Stacy,Soto,2004-03-19,2012-04-28,2022-02-12,502,21.06,Yes,97652.11,2951.67,1025.8,11822.66,6805.56
665-46-6368,120700,Jason,Garcia,1962-10-11,2015-06-04,2015-07-03,1753,80.07,Yes,65229.44,633.08,5808.49,4383.81,5092.56
858-85-4112,914215,Dustin,Dunn,2005-04-18,2005-06-16,2021-07-16,1510,93.7,No,37157.24,12039.31,1564.03,5577.06,1535.08
158-72-0204,161942,James,Reed,1954-11-19,2020-09-04,2016-02-04,2195,2.28,No,191153.43,12284.34,8976.75,9432.16,13242.48
469-95-1296,291933,Nicholas,Reyes,1974-05-09,2021-02-11,2017-05-15,2276,42.56,Yes,66702.04,2053.21,9456.78,2356.05,11921.85
344-95-0749,892589,Amy,Frank,1979-07-07,2005-08-29,2015-06-17,1182,10.15,Yes,54880.26,10708.3,8043.9,10455.48,4843.93
558-36-2210,19476,Edward,Henry,2001-04-24,2012-11-02,2019-12-29,999,25.99,No,63654.91,6760.03,3158.91,5721.42,6836.17
246-98-7895,44352,Vanessa,Ibarra,1956-01-27,2015-07-22,2020-05-15,1995,22.08,No,94265.43,7476.57,2428.39,8865.94,4877.15
361-79-4717,42638,Tonya,Bishop,1995-07-22,2009-04-16,2019-04-02,1166,64.69,Yes,122886.51,15140.19,7548.58,2093.0,432.44
690-46-9672,215729,Eddie,Mcdonald,1970-03-29,2015-08-23,2017-10-15,1941,35.03,No,55726.84,9561.23,2910.6,10023.88,665.29
649-80-2169,714076,Richard,Chen,1964-01-19,2023-12-12,2025-02-20,2282,18.03,Yes,198077.28,17184.89,4197.85,5310.87,5530.56
733-40-6358,272283,Erin,Morgan,1967-02-13,2010-09-17,2020-04-17,628,50.36,No,197108.17,11897.33,462.56,7089.98,3143.87
767-54-1323,585478,Natalie,Martinez,1985-04-17,2019-10-30,2018-08-25,891,3.94,Yes,55228.34,9110.17,1322.34,6226.61,7867.72
002-77-3151,330000,Tyler,Fleming,1962-01-16,2021-06-08,2017-03-10,2378,10.09,Yes,99004.17,12330.1,205.5,7150.73,2816.78
716-43-2623,992479,Sally,Howell,1986-11-01,2008-07-18,2022-10-11,1662,98.82,No,145588.01,6588.37,779.21,10420.43,3024.32
246-29-7343,384716,Marcus,Kramer,1977-11-01,2022-04-30,2023-03-27,954,19.94,Yes,179201.62,2424.31,732.11,4773.6,10090.02
388-91-9309,984024,Vernon,Martinez,2002-07-16,2013-04-20,2021-01-04,988,35.86,Yes,114219.01,13309.33,4202.32,9780.82,11034.04
896-54-0517,595033,Victor,Buck,1971-12-20,2023-11-24,2021-12-05,2145,73.16,Yes,185897.93,12129.73,5507.77,903.33,4683.48
412-90-9298,954048,Elizabeth,Lloyd,1963-04-03,2019-03-09,2018-04-04,2481,83.83,Yes,84818.25,15377.05,7408.79,4502.78,12899.92
429-99-0767,890700,James,Stark,1956-04-18,2014-12-04,2021-01-07,791,91.85,No,114734.95,2478.63,1422.83,11178.15,3819.59
170-58-1047,44044,Chelsea,Brennan,1968-07-22,2006-02-17,2022-07-27,2144,16.94,No,114769.92,17779.77,4221.89,786.09,5159.11
266-90-2584,887472,Jeffery,Becker,1979-01-17,2009-07-04,2022-10-19,1612,67.26,No,143911.59,15587.15,6369.66,9317.13,10687.21
